1,CASA VOYAGEURS/MARRAKECH,8,340,SRID=3857;POINT (-851596.7498882831 3967357.0515490603),SRID=3857;POINT (-851607.6731740611 3967365.8083651373),1920000,1920000,,Facultes,Haltes,LIN06.T001.FACULTES,,8400,0,CASABLANCA,
2,Nouaceur/EljadidaV2,74,150,SRID=3857;POINT (-931422.4866921209 3930584.980286067),SRID=3857;POINT (-931429.4264905186 3930592.180230386),6200000,6200000,,Azemmour,STATION,LIN08.T001.AZEMMOUR,,74150,620,AZEMMOUR,
3,BENGUERIR/SAFI U,141,0,SRID=3857;POINT (-1029530.063811 3800062.28159),SRID=3857;POINT (-1029530.8978848121 3800062.833242858),570000,570000,,Safi,STATION,LIN07.T001.SAFI,,141800,,SAFI,
4,CASAVOYAGEURS/SKACEM,191,860,SRID=3857;POINT (-659278.0092749159 4065090.1958290054),SRID=3857;POINT (-659277.8015850194 4065082.198525403),2640000,2640000,,Sidi Slimane Medina,Haltes,LIN01.T001.S.SLIMANMED,,191500,0,,
5,CASAVOYAGEURS/SKACEM,94,640,SRID=3857;POINT (-758674.9530974822 4033951.939492329),SRID=3857;POINT (-758693.5136594393 4033959.3896963424),2370000,2370000,,Sale,HALTES,LIN01.T001.SALE,,94600,0,SALE,
6,Bni.Ansart_Taourirt,9,176,SRID=3857;POINT (-325941.72356691695 4188888.516963673),SRID=3857;POINT (-325949.6121226591 4188889.847635797),6640000,6640000,,Nador,,LIN05.T001.NADOR,,9125,0,NADOR,
7,TANGER/FES,253,100,SRID=3857;POINT (-617312.5322869259 4015337.1049283803),SRID=3857;POINT (-617332.0687795321 4015326.989323769),3620000,3620000,,Meknes Al Amir Abdelkader,Haltes,LIN03.T001.M.ALAMIR,,253084,0,MEKNES,
8,BENGUERIR/SAFI U,75,100,SRID=3857;POINT (-963599.8918792052 3803323.861535134),SRID=3857;POINT (-963601.8794041715 3803331.6107121552),730000,730000,,Zaakna,Haltes,LIN07.T001.ZAAKNA,,75100,0,,
9,BENGUERIR/SAFI U,69,400,SRID=3857;POINT (-958318.251371171 3801318.11638888),SRID=3857;POINT (-958310.4545247852 3801319.9078091085),750000,750000,,Soualem,Haltes,LIN07.T001.SOUALEM,,69400,0,,
10,BENGUERIR/SAFI U,48,100,SRID=3857;POINT (-939175.2203674759 3801268.9721037843),SRID=3857;POINT (-939178.2612429679 3801276.371635948),790000,790000,,Mezinda,Haltes,LIN07.T001.MEZINDA,,48100,0,,
11,BENGUERIR/SAFI U,31,867,SRID=3857;POINT (-921303.9484926612 3795463.6318007982),SRID=3857;POINT (-921310.0479140141 3795438.3573659053),810000,810000,93,El Aria,STATION,LIN07.T001.ELARIA,COMMERCIALE,31900,81,EL ARIA,oui
12,BENGUERIR/SAFI U,85,810,SRID=3857;POINT (-974751.3856768644 3797957.0517737465),SRID=3857;POINT (-974752.0207678968 3797989.045470929),710000,710000,93,Bidane,STATION,LIN07.T001.BIDANE,COMMERCIALE,85800,71,BIDANE,oui
